Informazioni cronologiche,Hai vinto un buono da 30€. Come lo spendi?,Come ti comporti sui social? ,È ora di cena,Pregando di finire in zona gialla,"Quando ti trovi in una situazione nuova, circondat* da persone che vedi per la prima volta",Ti arrabbi soprattutto quando,Cosa ti preoccupa di più del futuro post-COVID?,Che pizza preferisci?,Sei tesserat* o fai vita associativa?,"Misuriamo l'umore, come ti senti ora?",Pensi che questo stato d'animo si prolungherà nel tempo?,"Secondo te, Bolzano ha bisogno di",Come vedi Bolzano?,"Cosa pensi se dico ""Intelligenza Artificiale""?",Quante ore dormi di solito la notte?,Mappa di Bolzano [Dov'è interessante?],Mappa di Bolzano [Dov'è rilassante?],Mappa di Bolzano [Dove ti incontri con gli amici?],Mappa di Bolzano [Dove non andresti?],Commento,Emozioni [Gioia ],Emozioni [Fiducia],Emozioni [Eccitazione],Emozioni [Ansia],Emozioni [Paura],Emozioni [Rabbia],Emozioni [Disgusto],Emozioni [Sorpresa],Emozioni [Tristezza],Rieccoti la mappa! [Rosso (A)],Rieccoti la mappa! [Arancione (B)],Rieccoti la mappa! [Giallo (C)],Rieccoti la mappa! [Verde (D)],Rieccoti la mappa! [Azzurro (E)],Rieccoti la mappa! [Blu (F)],Rieccoti la mappa! [Viola (G)],Luoghi/emozioni,Genere,Età,Luogo di nascita,"Se alla precedente domanda hai riposto Estero (EU) o Estero (no EU), specifica il paese qui sotto",Luogo di residenza,Livello di istruzione,Lingua madre,Lingue parlate,Stato civile,Con quante persone vivi?,Occupazione,Quanto lavori/studi?
15/02/2021 16.50.49,"Cosmetica, bellezza, benessere",6,Per fortuna vivo con altre persone che se ne occupano,"Rimango fedele all'appartamento, il mio habitat del cuore",Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Scopro che un conoscente non paga le tasse",La mia situazione,4 formaggi,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",piena di gente che compensa in alterigia ciò che le manca in facoltà cognitive e  immobili sproporzionatamente costosi rispetto al loro valore,Una cosa entusiasmante,7,"1, 2",Non so,1,"3, 4, 5",,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,"4, 5",3,Non so,1,1,2,2,mancavano alcuni dei colori che avrei usato,Donna,31-40,Italia,,Preferisco non rispondere,"Master, Università",Italiano,"Tedesco, Inglese, francese, svedese",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
15/02/2021 17.30.19,Articoli per la casa,7,Per fortuna vivo con altre persone che se ne occupano,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione",Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Capricciosa,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Sistemare la viabilità,Preoccupata ,È una questione delicata che dobbiamo gestire,8,3,1,3,Non so,,3,3,Non so,4,Non so,Non so,Non so,Non so,Non so,"4, 5",3,3,3,3,5,4,,Uomo,60+,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,Italiano,Sposat*,Con partner,Pensionat*,Non lavoro e non studio
15/02/2021 17.53.06,Musica o film,1,Adoro cucinare,Mi gusto uno spettacolo dal vivo,"Rompo il ghiaccio, vado a ruota libera","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La situazione delle persone a me vicine,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Vuota,Una cosa entusiasmante,6,"1, 2, 3, 4","2, 3","2, 4",5,,2,4,1,5,5,Non so,Non so,1,5,1,3,2,"1, 4",Non so,Non so,5,,Donna,41-50,Bolzano,,Appiano,"Laurea, Università",Tedesco,"Italiano, Tedesco",Convivente (anche non formalizzato),Con partner e figl*,Lavorator*,Part-time
15/02/2021 18.30.27,Articoli per la casa,5,Adoro cucinare,Imploro un aperitivo con gli amici,Aspetto che mi coinvolgano le altre persone,"Vedo una persona che getta una lattina a terra, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Capricciosa,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Nido ,È una questione delicata che dobbiamo gestire,6,1,2,1,4,,1,1,1,4,4,4,1,1,4,1,1,4,2,3,3,4,,Donna,60+,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,Italiano,Sposat*,Con partner,Pensionat*,Non lavoro e non studio
15/02/2021 19.29.38,Articoli sportivi,4,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,Penso che tutte le persone al potere vogliono fare solo i loro interessi,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,No,Sistemare la viabilità,Pensierosa,È una questione delicata che dobbiamo gestire,6,1,2,1,3,,1,4,1,3,3,5,3,1,4,3,2,1,4,5,4,4,,Donna,41-50,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco",Single,Da sol*,Lavorator*,Tempo pieno
15/02/2021 19.29.38,"Cosmetica, bellezza, benessere",3,Per fortuna vivo con altre persone che se ne occupano,Imploro un aperitivo con gli amici,Aspetto che mi coinvolgano le altre persone,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La mia situazione,Capricciosa,Non sono iscritt* a nulla perché in fondo non mi interessa,Male,Chissà,Eliminare lo spaccio e la delinquenza,"si sta ingrigendo, a volte noiosa e scarsamente ricca di opportunità, altre volte mi sembra un piccolo gioiello",Può essere una valida alleata degli umani,8,1,2,"1, 3",5,,"1, 4","1, 4","1, 2","1, 5",5,3,5,1,5,"1, 3","3, 5","3, 5",2,"2, 3","1, 2, 4",4,"rosso e blu associato alle zone del centro, mi ricordano i colori altoatesini, zona dove c'è molta influenza tedesca",Donna,21-30,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Inglese, spagnolo",Single,Preferisco non rispondere,Lavorator*,Part-time
15/02/2021 19.57.46,"Libri, giornali, riviste",6,Per fortuna vivo con altre persone che se ne occupano,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La re-impennata degli agenti inquinanti,Capricciosa,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Piantare alberi, Sistemare la viabilità",Bella,Non credo che possa esistere un'Intelligenza Artificiale,7,"1, 2, 3, 4","1, 2, 3","1, 2, 3, 4",Non so,Non c'è nessun posto dove non andrei,Non so,1,Non so,Non so,Non so,Non so,Non so,Non so,Non so,5,4,5,"1, 2",Non so,Non so,Non so,,Donna,21-30,Bolzano,,Laives,"Laurea, Università",Italiano,Italiano,Preferisco non rispondere,Preferisco non rispondere,Lavorator*,Tempo pieno
15/02/2021 20.22.29,"Libri, giornali, riviste",6,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La re-impennata degli agenti inquinanti,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Riqualificare/rimuovere i monumenti di epoca fascista, Rivedere l'assegnazione delle case popolari",calda,Non credo che possa esistere un'Intelligenza Artificiale,7,3,2,4,3,,3,1,2,3,2,2,2,1,1,2,2,3,"1, 2",2,2,3,,Non binario,21-30,Italia,,Roma,Istruzione secondaria/completa,Italiano,"Italiano, Inglese, francese",Convivente (anche non formalizzato),Con partner,Student*,Tempo pieno
15/02/2021 20.45.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/02/2021 21.15.20,"Libri, giornali, riviste",4,Adoro cucinare,Mi gusto uno spettacolo dal vivo,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione",Penso che tutte le persone al potere vogliono fare solo i loro interessi,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Non ho particolari preferenze,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,Sistemare la viabilità,Triste,Non mi interessa,8,1,1,1,3,,1,1,1,Non so,Non so,Non so,Non so,Non so,Non so,2,3,4,1,1,1,Non so,,Donna,51-60,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,Italiano,Sposat*,Con partner e figl*,Lavorator*,Part-time
15/02/2021 21.29.07,Musica o film,5,Per fortuna vivo con altre persone che se ne occupano,Imploro un aperitivo con gli amici,"Rompo il ghiaccio, vado a ruota libera","Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, I vicini del piano di sopra fanno rumore incessante per tutta la sera",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Marinara,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,Sistemare la viabilità,tradizionale,Può essere una valida alleata degli umani,7,2,"1, 2","2, 3",Non so,,"1, 2","1, 2, 3, 4, 5","4, 5",1,Non so,Non so,Non so,"1, 4",Non so,Non so,"1, 2","3, 4, 5","1, 2",Non so,"3, 4, 5",Non so,,Uomo,41-50,Preferisco non rispondere,,Bolzano,Istruzione secondaria/completa,spagnolo,"Italiano, spagnolo",Convivente (anche non formalizzato),Con partner e figl*,Lavorator*,Tempo pieno
15/02/2021 23.20.03,"Libri, giornali, riviste",3,Adoro cucinare,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Scopro che un conoscente non paga le tasse",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,"Riqualificare/rimuovere i monumenti di epoca fascista, Sistemare la viabilità",In gabbia,Può essere una valida alleata degli umani,6,1,3,3,1,,Non so,Non so,Non so,Non so,Non so,3,Non so,Non so,Non so,3,1,5,2,4,4,5,,Donna,41-50,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Convivente (anche non formalizzato),Con partner e figl*,Lavorator*,Part-time
15/02/2021 23.45.44,"Cosmetica, bellezza, benessere",7,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La mia situazione,Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,Eliminare lo spaccio e la delinquenza,"Peggiorata e decaduta, quasi non la riconosco, rimpiango molto il tempo passato. Non a caso mi sono trasferita in un paese vicino. Non la sento più mia nonostante sia nata e cresciuta a bolzano",È una questione delicata che dobbiamo gestire,5,5,5,5,4,"Non credo sia corretto equiparare Oltrisarco ad Aslago, secondo me sono molto diverse e io adoro Aslago mentre Oltrisarco è decaduta proprio",5,5,Non so,"1, 4","1, 4","1, 3, 4","1, 3, 4",Non so,"1, 3, 4",2,3,4,1,Non so,Non so,5,Aslago è il quartiere dove sono nata e dove ho tutti i miei ricordi di infanzia e giovinezza e nonostante i vari cambiamenti della città desidero vedere il quartiere sempre con gli occhi di bambina. Non è sempre facile ma è un luogo che nonostante tutto mi regala emozioni belle.,Donna,41-50,Bolzano,,Appiano ,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco",Separat*/Divorziat*,Preferisco non rispondere,Lavorator*,Part-time
16/02/2021 7.02.05,Articoli sportivi,6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Aspetto che mi coinvolgano le altre persone,"Vedo una persona che getta una lattina a terra, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, Penso che tutte le persone al potere vogliono fare solo i loro interessi, Scopro che un conoscente non paga le tasse",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",No,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza, Rivedere l'assegnazione delle case popolari",:),Può essere una valida alleata degli umani,8,3,2,3,5,,3,3,3,5,1,1,1,3,5,5,4,2,5,3,4,1,,Uomo,41-50,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco",Single,Da sol*,Lavorator*,Tempo pieno
16/02/2021 8.08.43,"Cosmetica, bellezza, benessere",3,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera",Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,La re-impennata degli agenti inquinanti,Salsiccia e friarielli,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Chissà,Rivedere l'assegnazione delle case popolari,Un controsenso,È una questione delicata che dobbiamo gestire,8,"1, 2, 3","1, 3","2, 3",1,,"2, 3",1,2,"1, 3",1,1,1,3,1,4,5,5,3,5,4,Non so,,Donna,31-40,Bolzano,,Bolzano,Dottorato di ricerca,Italiano,"Tedesco, Inglese",Single,Da sol*,Lavorator*,Tempo pieno
16/02/2021 8.26.14,"Cosmetica, bellezza, benessere",6,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,I vicini del piano di sopra fanno rumore incessante per tutta la sera,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Si,Sistemare la viabilità,Triste,Può essere una valida alleata degli umani,7,1,1,3,5,,1,1,1,Non so,Non so,Non so,Non so,"4, 5",Non so,Non so,5,"4, 5","1, 2",3,1,5,,Donna,51-60,Italia,,Bolzano,Laurea specialistica,Italiano,"Italiano, Tedesco, Inglese",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
16/02/2021 8.26.15,"Libri, giornali, riviste",4,Adoro cucinare,Mi gusto uno spettacolo dal vivo,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Scopro che un conoscente non paga le tasse",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,"Piantare alberi, Sistemare la viabilità",Ibrida,Può essere una valida alleata degli umani,6,1,1,1,5,,1,1,Non so,Non so,Non so,Non so,Non so,Non so,Non so,5,4,4,1,1,Non so,Non so,Si,Donna,60+,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Inglese, Francese, spagnolo ",Separat*/Divorziat*,Preferisco non rispondere,Preferisco non rispondere,Part-time
16/02/2021 10.33.26,"Cosmetica, bellezza, benessere",5,La pizzeria del cuore è in cima alla lista,Imploro un aperitivo con gli amici,"Rompo il ghiaccio, vado a ruota libera","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera","Essere incapace di staccarmi da computer e smartphone, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",4 formaggi,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",complessata,Può essere una valida alleata degli umani,6,"2, 3, 4","1, 2, 3, 4","1, 5",Non so,Complimenti per come avete formulato la domanda. Davvero efficace!,"1, 3, 4","2, 4",Non so,"1, 5","1, 5",5,1,"3, 4, 5","4, 5",4,Non so,Non so,"1, 4, 5","3, 4",2,Non so,"Ho capito che le emozioni sono per me legate a luoghi di infanzia, ad es. scuola, chiesa, feste di quartiere, e poi più tardi al luogo di lavoro. Si tratta comunque di luoghi frequentati in modo ripetuto nel tempo. ",Donna,31-40,Bolzano,,Bolzano,Dottorato di ricerca,Italiano,"Italiano, Tedesco, Inglese, spagnolo, portoghese",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
16/02/2021 10.58.38,"Libri, giornali, riviste",7,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,Aspetto che mi coinvolgano le altre persone,"Vedo una persona che getta una lattina a terra, Scopro che un conoscente non paga le tasse",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,Non sono iscritt* a nulla perché in fondo non mi interessa,Male,Si,Sistemare la viabilità,carsica,È una questione delicata che dobbiamo gestire,8,1,Non so,1,Non so,,Non so,"1, 2, 3, 4, 5",Non so,Non so,Non so,3,Non so,2,5,Non so,4,5,1,1,2,5,,Uomo,41-50,Italia,,Bolzano,Laurea specialistica,Italiano,"Italiano, Tedesco, Inglese",Convivente (anche non formalizzato),Con più di due coinquilin*,Lavorator*,Tempo pieno
16/02/2021 12.05.53,Macchine fotografiche e altre attrezzature elettroniche,6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera",Essere incapace di staccarmi da computer e smartphone,Marinara,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Male,Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",distaccata,È una questione delicata che dobbiamo gestire,6,1,2,"1, 2",Non so,"La parte che mi dà un vero benessere è quella lungo il Talvera, con i suoi immensi e meravigliosi prati. ",2,"1, 2",Non so,5,Non so,Non so,Non so,2,Non so,2,1,3,4,5,Non so,Non so,,Donna,60+,Altro comune Trentino Alto Adige,,Bolzano,Istruzione secondaria/completa,Italiano,Italiano,Sposat*,Con partner e figl*,Casaling*,Preferisco non rispondere
16/02/2021 12.09.21,"Cosmetica, bellezza, benessere",4,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,"Rompo il ghiaccio, vado a ruota libera",Vedo una persona che getta una lattina a terra,La re-impennata degli agenti inquinanti,Vegetariana,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Si,Sistemare la viabilità,ipocrita,Una cosa entusiasmante,8,"1, 2",2,1,4,,1,"1, 2",1,"4, 5","4, 5",Non so,Non so,"1, 3","3, 4, 5",5,4,"1, 2","1, 2",1,Non so,"1, 2, 3",,Donna,41-50,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese, portoghese, francese, spagnolo",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
16/02/2021 13.41.41,"Cosmetica, bellezza, benessere",2,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Aspetto che mi coinvolgano le altre persone,Penso che tutte le persone al potere vogliono fare solo i loro interessi,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Si,Eliminare lo spaccio e la delinquenza,Apatica ,Può essere una valida alleata degli umani,8,2,1,2,5,,2,3,"5, Non so","1, 5",5,4,4,3,5,2,3,5,4,1,1,3,"I luoghi familiari mi danno gioia e i meno conosciuti paura, ansia, disgusto. ",Donna,60+,Altro comune Trentino Alto Adige,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Ted. Scolastico",Sposat*,Con partner,Pensionat*,Non lavoro e non studio
16/02/2021 16.45.16,"Libri, giornali, riviste",5,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La situazione delle persone a me vicine, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Vegetariana,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",No,Sistemare la viabilità,tranquilla,Può essere una valida alleata degli umani,8,"1, 2","1, 2","1, 2","3, 4",,"1, 2","1, 2",1,"3, 4",Non so,Non so,Non so,"1, 2","3, 4",1,2,2,Non so,Non so,Non so,Non so,,Donna,21-30,Italia,,Bolzano,Laurea specialistica,Italiano,"Italiano, Tedesco, Inglese",Preferisco non rispondere,Da sol*,Lavorator*,Tempo pieno
